username,user_url,img,color,equippable
AstraAegis,https://eu01.playuntrusted.com/profile/AstraAegis/,https://eu01.playuntrusted.com../../avatars/00134.png,Dr.Blue,No consumable equipped.
littledulity,https://eu01.playuntrusted.com/profile/littledulity/,https://eu01.playuntrusted.com../../avatars/00015.png,Dr.Brown,No consumable equipped.
Assassin342,https://eu01.playuntrusted.com/profile/Assassin342/,https://eu01.playuntrusted.com../../avatars/00015.png,Dr.Cyan,No consumable equipped.
ZombieLeader,https://eu01.playuntrusted.com/profile/ZombieLeader/,https://eu01.playuntrusted.com../../avatars/00101.png,Dr.Gold,No consumable equipped.
AlexJones,https://eu01.playuntrusted.com/profile/AlexJones/,https://eu01.playuntrusted.com../../avatars/00178.png,Dr.Gray,No consumable equipped.
VerySuspicious,https://eu01.playuntrusted.com/profile/VerySuspicious/,https://eu01.playuntrusted.com../../avatars/00165.png,Dr.Green,No consumable equipped.
deltanedas,https://eu01.playuntrusted.com/profile/deltanedas/,https://eu01.playuntrusted.com../../avatars/00003.png,Dr.Orange,No consumable equipped.
Gibby,https://eu01.playuntrusted.com/profile/Gibby/,https://eu01.playuntrusted.com../../avatars/00048.png,Dr.Pink,No consumable equipped.
CastleRuler,https://eu01.playuntrusted.com/profile/CastleRuler/,https://eu01.playuntrusted.com../../avatars/00172.png,Dr.Red,No consumable equipped.
Gabrote42,https://eu01.playuntrusted.com/profile/Gabrote42/,https://eu01.playuntrusted.com../../avatars/00049.png,Dr.Silver,Equipped Service Pistol
Ping,https://eu01.playuntrusted.com/profile/Ping/,https://eu01.playuntrusted.com../../avatars/00091.png,Dr.White,No consumable equipped.
Nobelightning,https://eu01.playuntrusted.com/profile/Nobelightning/,https://eu01.playuntrusted.com../../avatars/00182.png,Mrs.Magenta,Equipped Shroom
